time,evXh,evYh,evZh,evXm,evYm,evZm,qTildeWh,qTildeXh,qTildeYh,qTildeZh,qTildeWm,qTildeXm,qTildeYm,qTildeZm,zStar,zStarHath,zStarHatm,zTildeh,zTildem,desImageWrtImageZhatPX,desImageWrtImageZhatPY,desImageWrtImageZhatPZ,desImageWrtImagePX,desImageWrtImagePY,desImageWrtImagePZ,desImageWrtImageZhatQW,desImageWrtImageZhatQX,desImageWrtImageZhatQY,desImageWrtImageZhatQZ,desImageWrtImageQW,desImageWrtImageQX,desImageWrtImageQY,desImageWrtImageQZ,vcXh,vcYh,vcZh,vcXm,vcYm,vcZm,wcXh,wcYh,wcZh,wcXm,wcYm,wcZm,
2.24107,21.5863,-54.3947,0.0909208,26.0869,-64.5176,0.0934803,0.905506,-0.0176004,0.20336,0.372013,0.908957,-3.91308e-07,0.208444,0.361038,2.1396,0.01,-0.0460894,2.1296,2.18569,0,0,0,1.12273,-0.61272,0.325359,0,0,0,0,0.908702,3.9056e-07,-0.208721,-0.361518,0,0,0,0.0977189,-0.27333,0.0716827,0,0,0,-5.74911e-09,-0.234873,-0.406814,
2.24203,21.8353,-54.6418,0.0932821,26.8811,-64.9106,0.0946783,0.908924,-0.00134899,0.207838,0.361468,0.908775,2.79147e-06,0.208645,0.361381,2.1396,0.01,-0.0436962,2.1296,2.1833,1.10419,-0.635633,0.301253,1.1227,-0.613495,0.325779,0.905162,0.0175924,-0.203714,-0.372655,0.908556,-6.68415e-07,-0.208881,-0.361793,0.0992103,-0.230121,0.0698006,0.102067,-0.275398,0.0726096,0.000976745,-0.234,-0.407377,-1.94197e-06,-0.235025,-0.40707,
2.26738,21.8945,-54.9006,0.0936391,26.8206,-64.9611,0.0948057,0.907322,0.000355037,0.209474,0.364536,0.908483,2.83671e-07,0.20896,0.361931,2.1396,0.0104563,-0.0431091,2.12914,2.18271,1.11739,-0.607923,0.318706,1.12833,-0.616078,0.328269,0.908459,0.00134816,-0.208342,-0.362345,0.908486,-2.83669e-07,-0.208957,-0.361925,0.0997118,-0.231235,0.0700571,0.101843,-0.275636,0.0727094,-0.000557812,-0.235635,-0.409443,-3.353e-07,-0.23526,-0.407483,
2.31174,22.2447,-55.7117,0.0953305,26.8753,-65.4253,0.0962313,0.89975,-0.0232274,0.215681,0.378671,0.906523,1.19409e-05,0.211077,0.365599,2.1396,0.0113084,-0.0420427,2.12829,2.18164,1.11848,-0.613948,0.322423,1.13806,-0.62438,0.334289,0.906827,-0.000356047,-0.210008,-0.365461,0.906249,7.66809e-07,-0.211372,-0.366107,0.101837,-0.234856,0.0714622,0.102849,-0.277996,0.0738208,0.0198797,-0.234227,-0.423347,-1.08802e-05,-0.236851,-0.410233,
2.34693,22.1595,-56.0165,0.096707,30.3709,-65.3753,0.0954001,0.898378,-0.0213484,0.219115,0.380066,0.90758,3.40884e-06,0.209941,0.363625,2.1396,0.0118485,-0.041128,2.12775,2.18073,1.10379,-0.649884,0.328939,1.14654,-0.623416,0.332946,0.899152,0.0232239,-0.21627,-0.379755,0.906409,1.38474e-06,-0.211203,-0.365809,0.102025,-0.236562,0.0725533,0.117314,-0.277369,0.0731723,0.0188764,-0.237554,-0.423992,-2.5826e-06,-0.235997,-0.408753,
2.37169,22.0597,-56.189,0.0974594,30.3709,-65.3753,0.0954001,0.898838,-0.0202281,0.21308,0.382462,0.90758,3.40884e-06,0.209941,0.363625,2.1396,0.0121915,-0.0404832,2.12741,2.18008,1.10731,-0.650993,0.337258,1.14654,-0.623416,0.332946,0.897881,0.0213481,-0.219602,-0.380957,0.906409,1.38474e-06,-0.211203,-0.365809,0.101851,-0.237519,0.07315,0.117314,-0.277369,0.0731723,0.0160614,-0.232534,-0.426075,-2.5826e-06,-0.235997,-0.408753,
2.39664,22.1361,-56.3772,0.104148,36.7308,-64.9587,0.0930609,0.899193,-0.0115608,0.220541,0.377729,0.910772,3.42004e-06,0.206458,0.357589,2.1396,0.0125946,-0.0395897,2.12701,2.17919,1.11309,-0.65641,0.321497,1.17221,-0.604504,0.318651,0.898169,0.0202179,-0.213739,-0.383666,0.910478,-3.41775e-06,-0.206782,-0.35815,0.103882,-0.241213,0.078657,0.14317,-0.274622,0.0713365,0.0108608,-0.241349,-0.420781,-2.08847e-06,-0.233384,-0.404226,
2.42902,22.1259,-56.673,0.103244,45.6097,-63.7862,0.0898785,0.895916,-0.0126391,0.232492,0.378315,0.915553,3.3995e-06,0.201102,0.348311,2.1396,0.0131734,-0.0382159,2.12643,2.17782,1.11976,-0.641612,0.343228,1.19803,-0.579994,0.302627,0.898726,0.0115631,-0.22101,-0.378566,0.915254,-3.39678e-06,-0.201442,-0.3489,0.10396,-0.241865,0.0778612,0.178951,-0.268479,0.0688492,0.0146718,-0.251251,-0.420617,-1.92775e-06,-0.229367,-0.397268,
2.46101,22.0739,-56.8553,0.106529,57.2167,-61.4525,0.0860855,0.89602,-0.012441,0.226427,0.381738,0.921781,4.95227e-06,0.193859,0.335766,2.1396,0.0136814,-0.0367056,2.12592,2.17631,1.11603,-0.641895,0.373588,1.22993,-0.543932,0.282503,0.895342,0.0126548,-0.233055,-0.379324,0.92153,-4.94954e-06,-0.194157,-0.336281,0.104628,-0.243971,0.0805829,0.225347,-0.257434,0.0658912,0.0125354,-0.245929,-0.423676,-3.09654e-06,-0.223936,-0.387858,
2.50588,21.9508,-57.2743,0.105356,63.861,-59.5205,0.0843154,0.893403,-0.0167034,0.222303,0.390043,0.9251,-2.55029e-07,0.189865,0.328848,2.1396,0.0144831,-0.0338542,2.12512,2.17345,1.12266,-0.649501,0.356996,1.24805,-0.522285,0.272848,0.895365,0.0124487,-0.227071,-0.38289,0.924629,4.19635e-07,-0.190438,-0.329842,0.104109,-0.244941,0.0795616,0.25215,-0.248833,0.0644651,0.0141813,-0.240856,-0.43101,1.18104e-06,-0.220939,-0.382671,
