time,evXh,evYh,evZh,evXm,evYm,evZm,qTildeWh,qTildeXh,qTildeYh,qTildeZh,qTildeWm,qTildeXm,qTildeYm,qTildeZm,zStar,zStarHath,zStarHatm,zTildeh,zTildem,desImageWrtImageZhatPX,desImageWrtImageZhatPY,desImageWrtImageZhatPZ,desImageWrtImagePX,desImageWrtImagePY,desImageWrtImagePZ,desImageWrtImageZhatQW,desImageWrtImageZhatQX,desImageWrtImageZhatQY,desImageWrtImageZhatQZ,desImageWrtImageQW,desImageWrtImageQX,desImageWrtImageQY,desImageWrtImageQZ,vcXh,vcYh,vcZh,vcXm,vcYm,vcZm,wcXh,wcYh,wcZh,wcXm,wcYm,wcZm,
6.88551,-114.531,-99.7521,0.0929489,-104.465,-103.946,0.096267,0.838985,0.00351087,0.295094,0.457178,0.850369,-2.80889e-07,0.271006,0.45103,2.16586,0.01,0.0136571,2.15586,2.1522,0,0,0,0.61466,-1.03504,0.456989,0,0,0,0,0.849868,3.16967e-07,-0.271422,-0.451723,0,0,0,-0.414602,-0.4332,0.0731598,0,0,0,1.94312e-07,-0.284157,-0.472916,
6.88606,-114.445,-99.3839,0.0892513,-104.465,-103.946,0.096267,0.84077,-0.00311724,0.288547,0.45808,0.850369,-2.80889e-07,0.271006,0.45103,2.16586,0.01,0.0145677,2.15586,2.15129,0.572697,-1.04003,0.504475,0.61466,-1.03504,0.456989,0.838554,-0.00349703,-0.295438,-0.457746,0.849868,3.16967e-07,-0.271422,-0.451723,-0.452612,-0.409414,0.0673182,-0.414602,-0.4332,0.0731598,0.00588029,-0.298246,-0.477591,1.94312e-07,-0.284157,-0.472916,
6.91617,-114.669,-99.3648,0.0883052,-104.438,-103.796,0.0971025,0.841099,-0.0203914,0.280717,0.461882,0.84916,4.16703e-06,0.272009,0.452701,2.16586,0.0102787,0.0148383,2.15558,2.15102,0.582537,-1.04734,0.483382,0.617382,-1.03609,0.459555,0.840099,0.00313134,-0.289079,-0.458973,0.849168,-4.16702e-06,-0.272003,-0.45269,-0.45277,-0.408472,0.0665816,-0.41435,-0.433162,0.0738904,0.0194785,-0.287151,-0.483477,-4.04001e-06,-0.28491,-0.474169,
6.95796,-115.057,-99.5115,0.0921645,-104.152,-103.982,0.0978985,0.842017,-0.012103,0.278268,0.461982,0.847071,1.48709e-06,0.273733,0.455567,2.16586,0.0108724,0.015359,2.15498,2.1505,0.593131,-1.06418,0.445612,0.624285,-1.04324,0.464681,0.840262,0.0203956,-0.281359,-0.463013,0.846536,3.10437e-06,-0.274171,-0.456296,-0.45613,-0.411604,0.069704,-0.412969,-0.434305,0.0745541,0.0112823,-0.28692,-0.482689,-1.20312e-06,-0.286202,-0.476318,
6.98683,-115.119,-99.5475,0.0951636,-104.86,-104.048,0.0981344,0.841192,-0.0089134,0.279825,0.462617,0.845015,1.33234e-06,0.275413,0.458364,2.16586,0.0111547,0.0156026,2.1547,2.15025,0.606051,-1.06233,0.451408,0.625426,-1.04705,0.467324,0.841551,0.0121035,-0.278634,-0.462611,0.845024,1.12095e-06,-0.275406,-0.458351,-0.457967,-0.413799,0.0721668,-0.415669,-0.434616,0.0747512,0.00861959,-0.28897,-0.482658,-1.18733e-06,-0.287462,-0.478416,
7.01458,-114.937,-99.4626,0.0958153,-104.86,-104.048,0.0981344,0.842303,-0.0551829,0.255884,0.471173,0.845015,1.33234e-06,0.275413,0.458364,2.16586,0.011745,0.0161595,2.15411,2.1497,0.609419,-1.06278,0.459066,0.625426,-1.04705,0.467324,0.840757,0.00891467,-0.280167,-0.4632,0.845024,1.12095e-06,-0.275406,-0.458351,-0.457587,-0.413489,0.0728086,-0.415669,-0.434616,0.0747512,0.0444983,-0.256351,-0.4966,-1.18733e-06,-0.287462,-0.478416,
7.05883,-115.211,-99.6382,0.0912189,-103.298,-104.431,0.0992762,0.836137,-0.0553738,0.268558,0.475064,0.843875,1.20617e-06,0.276337,0.459905,2.16586,0.012624,0.0169137,2.15323,2.14894,0.628073,-1.09753,0.348281,0.635333,-1.05336,0.471787,0.841563,0.0551507,-0.256417,-0.472209,0.843012,-1.7267e-06,-0.277037,-0.461066,-0.45516,-0.410866,0.0691195,-0.408985,-0.436839,0.0757158,0.0472176,-0.267195,-0.498829,-1.533e-06,-0.288155,-0.479572,
7.08394,-115.184,-99.6642,0.0969461,-103.298,-104.431,0.0992762,0.83736,-0.0217121,0.279844,0.469089,0.843875,1.20617e-06,0.276337,0.459905,2.16586,0.0122921,0.0168546,2.15356,2.149,0.616548,-1.1041,0.374187,0.635333,-1.05336,0.471787,0.835597,0.0553594,-0.268937,-0.475801,0.843012,-1.7267e-06,-0.277037,-0.461066,-0.458386,-0.415124,0.0736991,-0.408985,-0.436839,0.0757158,0.019556,-0.285559,-0.489427,-1.533e-06,-0.288155,-0.479572,
7.12218,-115.458,-99.6804,0.086624,-88.6007,-106.557,0.102679,0.829584,-0.0544918,0.280886,0.479505,0.852406,9.41371e-06,0.269299,0.448199,2.16586,0.00754175,0.0128271,2.15831,2.15303,0.618014,-1.08272,0.44366,0.696476,-1.03652,0.460439,0.836604,0.0217097,-0.280415,-0.470097,0.851971,-9.35144e-06,-0.269664,-0.448806,-0.455188,-0.407297,0.0649776,-0.351825,-0.447069,0.0781121,0.0487667,-0.277979,-0.501334,-9.92231e-06,-0.282878,-0.470792,
7.16517,-115.715,-99.6186,0.0887856,-79.0696,-107.195,0.104943,0.833474,-0.0967496,0.240387,0.488031,0.858156,6.44225e-06,0.264415,0.440061,2.16586,-0.00169986,0.00543245,2.16756,2.16042,0.605391,-1.11307,0.401005,0.730491,-1.02386,0.454266,0.828917,0.0544844,-0.281342,-0.48039,0.857132,-5.91128e-06,-0.265296,-0.441524,-0.461344,-0.407787,0.0659571,-0.315713,-0.450727,0.0796878,0.0771781,-0.231017,-0.514615,-5.81672e-06,-0.279215,-0.464688,
