time,evXh,evYh,evZh,evXm,evYm,evZm,qTildeWh,qTildeXh,qTildeYh,qTildeZh,qTildeWm,qTildeXm,qTildeYm,qTildeZm,zStar,zStarHath,zStarHatm,zTildeh,zTildem,desImageWrtImageZhatPX,desImageWrtImageZhatPY,desImageWrtImageZhatPZ,desImageWrtImagePX,desImageWrtImagePY,desImageWrtImagePZ,desImageWrtImageZhatQW,desImageWrtImageZhatQX,desImageWrtImageZhatQY,desImageWrtImageZhatQZ,desImageWrtImageQW,desImageWrtImageQX,desImageWrtImageQY,desImageWrtImageQZ,vcXh,vcYh,vcZh,vcXm,vcYm,vcZm,wcXh,wcYh,wcZh,wcXm,wcYm,wcZm,
3.36069,-70.693,-106.357,0.256812,-72.6943,-113.121,0.260026,0.879482,0.0204518,0.266526,0.393772,0.88941,-2.41719e-08,0.23543,0.39182,2.54106,0.01,-0.0336088,2.53106,2.57467,0,0,0,0.613348,-1.09839,0.759168,0,0,0,0,0.888983,-1.67495e-06,-0.235856,-0.392533,0,0,0,-0.314843,-0.514029,0.19395,0,0,0,1.97345e-07,-0.257474,-0.428508,
3.37188,-70.6646,-106.414,0.256013,-72.6943,-113.121,0.260026,0.887312,0.000644724,0.236232,0.39607,0.88941,-2.41719e-08,0.23543,0.39182,2.54106,0.01,-0.0434556,2.53106,2.58452,0.587271,-1.08662,0.802882,0.613348,-1.09839,0.759168,0.883499,-0.00972849,-0.250555,-0.395674,0.888983,-1.67495e-06,-0.235856,-0.392533,-0.286986,-0.483704,0.191462,-0.314843,-0.514029,0.19395,-0.000995438,-0.258043,-0.431715,1.97345e-07,-0.257474,-0.428508,
3.38886,-70.8624,-106.59,0.255665,-73.1524,-113.273,0.260305,0.870414,0.0430081,0.293047,0.39326,0.888049,2.92442e-07,0.236788,0.394082,2.54106,0.00762802,-0.0459478,2.53344,2.58701,0.609213,-1.10499,0.761266,0.615154,-1.10204,0.761153,0.886944,-0.000645921,-0.236597,-0.396677,0.887719,4.71344e-06,-0.237119,-0.394626,-0.288117,-0.484074,0.190988,-0.32183,-0.513968,0.193749,-0.0255476,-0.316479,-0.418555,-2.16089e-07,-0.258493,-0.430205,
3.43013,-71.1026,-106.796,0.255193,-73.4754,-113.432,0.260483,0.868783,0.0367454,0.294451,0.39644,0.886261,1.93948e-06,0.238558,0.397028,2.54106,0.00343361,-0.0501789,2.53763,2.59124,0.52525,-1.02041,0.934662,0.62071,-1.10692,0.764347,0.869756,-0.0429425,-0.2937,-0.394234,0.885986,-2.36634e-06,-0.238828,-0.397478,-0.29071,-0.484027,0.190386,-0.324559,-0.514361,0.193744,-0.0200736,-0.316123,-0.421985,-1.92152e-06,-0.259821,-0.432414,
3.46704,-71.3612,-107.009,0.256661,-73.0682,-113.611,0.260752,0.871756,0.0132229,0.278924,0.402577,0.885556,5.25405e-06,0.239252,0.398182,2.54106,6.25955e-05,-0.0534818,2.541,2.59455,0.525818,-1.03362,0.929314,0.624084,-1.11002,0.766161,0.868065,-0.036675,-0.29515,-0.397498,0.885002,5.57685e-07,-0.239796,-0.399086,-0.293702,-0.485589,0.191608,-0.324011,-0.515032,0.19387,-0.00325416,-0.297186,-0.431883,-4.71239e-06,-0.260342,-0.433279,
3.49708,-71.469,-107.196,0.260983,-68.5787,-114.341,0.261221,0.880806,-0.00308406,0.245721,0.404714,0.887323,3.66031e-06,0.237508,0.395281,2.54106,-0.00352035,-0.0567033,2.54459,2.59777,0.550461,-1.08295,0.865184,0.648365,-1.10741,0.762666,0.871179,-0.0131855,-0.279466,-0.403449,0.886991,-3.66072e-06,-0.237837,-0.395829,-0.297078,-0.489374,0.195519,-0.305528,-0.518463,0.194323,0.00337539,-0.264737,-0.438447,-3.43218e-06,-0.259034,-0.431104,
3.53707,-71.644,-107.44,0.260446,-60.8395,-115.39,0.260919,0.880354,-0.0019384,0.245602,0.405773,0.891454,-3.84599e-07,0.233376,0.388389,2.54106,-0.00739203,-0.0599821,2.54846,2.60105,0.613262,-1.1235,0.774598,0.672954,-1.10394,0.756308,0.880233,0.00308669,-0.246266,-0.405627,0.889401,-7.22417e-06,-0.235439,-0.391835,-0.299053,-0.489574,0.194829,-0.272242,-0.522981,0.194215,0.00216674,-0.264839,-0.43913,2.43554e-06,-0.255935,-0.425935,
3.57554,-71.9427,-107.597,0.259996,-41.8082,-116.356,0.261015,0.879852,-0.00078319,0.245684,0.406815,0.901308,1.60785e-06,0.223105,0.371306,2.54106,-0.011006,-0.0625598,2.55207,2.60362,0.622803,-1.12522,0.776332,0.760489,-1.07596,0.735324,0.879799,0.0019402,-0.24613,-0.406657,0.899849,-4.0159e-06,-0.224662,-0.373896,-0.301485,-0.489456,0.194228,-0.189582,-0.527963,0.194883,0.000999177,-0.265115,-0.439784,-9.35623e-07,-0.248231,-0.413123,
3.60207,-71.9706,-107.756,0.259582,-41.8082,-116.356,0.261015,0.870745,0.000142232,0.267609,0.41254,0.901308,1.60785e-06,0.223105,0.371306,2.54106,-0.0137068,-0.0641234,2.55477,2.60519,0.63197,-1.12665,0.778385,0.760489,-1.07596,0.735324,0.879361,0.000784291,-0.246151,-0.407595,0.899849,-4.0159e-06,-0.224662,-0.373896,-0.302692,-0.489547,0.193667,-0.189582,-0.527963,0.194883,0.00449756,-0.283834,-0.442607,-9.35623e-07,-0.248231,-0.413123,
3.6265,-71.9775,-107.787,0.263897,-32.6599,-115.5,0.261325,0.875012,0.0226639,0.260004,0.407723,0.905828,-3.43942e-06,0.2182,0.36313,2.54106,-0.0165028,-0.0653639,2.55757,2.60643,0.58598,-1.12458,0.823436,0.808844,-1.05411,0.725673,0.870349,-0.000128614,-0.26797,-0.413141,0.904979,-9.74833e-07,-0.219127,-0.364687,-0.305369,-0.492413,0.197752,-0.149574,-0.524869,0.19549,-0.0169007,-0.282811,-0.436037,5.40665e-06,-0.244552,-0.406991,
