time,evXh,evYh,evZh,evXm,evYm,evZm,qTildeWh,qTildeXh,qTildeYh,qTildeZh,qTildeWm,qTildeXm,qTildeYm,qTildeZm,zStar,zStarHath,zStarHatm,zTildeh,zTildem,desImageWrtImageZhatPX,desImageWrtImageZhatPY,desImageWrtImageZhatPZ,desImageWrtImagePX,desImageWrtImagePY,desImageWrtImagePZ,desImageWrtImageZhatQW,desImageWrtImageZhatQX,desImageWrtImageZhatQY,desImageWrtImageZhatQZ,desImageWrtImageQW,desImageWrtImageQX,desImageWrtImageQY,desImageWrtImageQZ,vcXh,vcYh,vcZh,vcXm,vcYm,vcZm,wcXh,wcYh,wcZh,wcXm,wcYm,wcZm,
5.22276,-9.60922,-621.126,0.622202,-10.7002,-627.473,0.622423,0.752139,-0.433004,0.426997,0.253908,0.751032,-0.433609,0.43122,0.248965,2.24746,0.01,0.0141513,2.23746,2.23331,0,0,0,1.23723,-0.834477,0.499368,0,0,0,0,0.750726,0.433433,-0.431753,-0.249272,0,0,0,0.0248359,-2.57907,0.467966,0,0,0,0.325207,-0.401955,-0.322758,
5.23402,-9.84267,-621.274,0.621762,-11.4534,-627.567,0.623776,0.748868,-0.432836,0.434804,0.250591,0.749499,-0.432728,0.433877,0.250497,2.24746,0.01,0.0178761,2.23746,2.22958,1.24229,-0.84115,0.488564,1.23815,-0.837418,0.5014,0.828163,0.254396,-0.363236,-0.342767,0.749899,0.432957,-0.433187,-0.250098,0.0294558,-2.54329,0.46686,0.0264563,-2.5775,0.470294,0.442811,-0.306807,-0.289601,0.442512,-0.306007,-0.289762,
5.24414,13.4167,-65.9351,0.132063,12.1307,-72.0624,-0.209897,0.8651,-0.00147674,0.246793,0.436685,0.826985,-0.254572,0.367192,0.34126,2.24746,0.0116393,0.0187311,2.23582,2.22873,1.23666,-0.842292,0.503782,1.2383,-0.837784,0.50393,0.864549,0.000413586,-0.251607,-0.435028,0.865422,-2.59756e-06,-0.250521,-0.433916,0.0697177,-0.284535,0.0985583,0.0347529,-0.22423,-0.156564,8.64256e-05,-0.262654,-0.464106,0.267535,-0.302275,-0.390418,
5.27513,13.248,-66.0651,0.132606,11.8874,-72.2446,0.135114,0.861591,-0.00520007,0.252793,0.440147,0.864359,1.74521e-06,0.251438,0.435502,2.24746,0.0117111,0.0188123,2.23575,2.22865,1.24419,-0.84819,0.488636,1.24128,-0.842315,0.506747,0.864675,0.00147283,-0.247158,-0.43732,0.863868,-1.69502e-06,-0.25186,-0.436232,0.0692306,-0.285189,0.0990035,0.0668453,-0.31193,0.100958,0.00441848,-0.266753,-0.466932,-1.43144e-06,-0.267119,-0.462662,
5.30565,12.9115,-66.2134,0.131456,11.7695,-72.3422,0.135335,0.860734,-0.0153009,0.240887,0.448193,0.863254,-1.95782e-06,0.252386,0.437143,2.24746,0.0117844,0.0188954,2.23567,2.22856,1.23763,-0.857237,0.504422,1.24372,-0.84551,0.508698,0.861105,0.00519897,-0.253201,-0.440863,0.862745,-9.37429e-07,-0.252818,-0.437896,0.0675809,-0.285037,0.0980457,0.0664842,-0.312341,0.10112,0.00973387,-0.253405,-0.475356,2.05481e-06,-0.267829,-0.463892,
5.35213,12.5981,-66.3255,0.131231,14.0138,-72.5382,0.134369,0.86005,-0.0113374,0.243467,0.448228,0.863648,2.20712e-06,0.252049,0.436559,2.24746,0.0119003,0.0190544,2.23556,2.2284,1.24171,-0.882407,0.461893,1.25556,-0.842351,0.504384,0.860258,0.0152864,-0.241277,-0.448897,0.863298,-2.20598e-06,-0.252349,-0.437078,0.0663719,-0.28528,0.0978087,0.0757376,-0.312418,0.100233,0.00673494,-0.256599,-0.474718,-1.56157e-06,-0.267578,-0.463454,
5.40487,12.3321,-66.5711,0.130458,29.4549,-71.8592,0.127622,0.855319,-0.016323,0.250369,0.453298,0.873476,3.73764e-06,0.243436,0.421639,2.24746,0.0122434,0.0201354,2.23521,2.22732,1.24861,-0.880518,0.470706,1.30532,-0.806193,0.474113,0.859268,0.0113171,-0.24411,-0.449377,0.871524,-1.65914e-06,-0.245179,-0.424658,0.0654045,-0.285633,0.0971232,0.13817,-0.305372,0.0942825,0.0122578,-0.261077,-0.478901,-2.79562e-06,-0.261118,-0.452264,
5.43688,12.0407,-66.7634,0.129954,42.3206,-69.5715,0.123951,0.854062,-0.0192161,0.248313,0.456672,0.881843,9.45807e-08,0.235774,0.408366,2.24746,0.0126967,0.0224054,2.23476,2.22505,1.24172,-0.893094,0.487681,1.34494,-0.766388,0.450944,0.854707,0.0163114,-0.250857,-0.454182,0.879317,-3.68508e-07,-0.238118,-0.412433,0.064317,-0.285975,0.0966689,0.190189,-0.29356,0.0909678,0.0139832,-0.258345,-0.482053,8.81672e-07,-0.255371,-0.442309,
5.46841,11.8147,-66.8729,0.130456,51.1842,-67.2546,0.121213,0.853232,-0.0240928,0.241194,0.46178,0.887465,7.28759e-07,0.230441,0.399128,2.24746,0.0131718,0.0255004,2.23429,2.22196,1.24614,-0.901527,0.478378,1.38517,-0.719513,0.427193,0.853546,0.0192029,-0.24872,-0.457415,0.88712,-7.25555e-07,-0.230773,-0.399702,0.0636001,-0.286516,0.0970829,0.226396,-0.282161,0.0883988,0.0161096,-0.250558,-0.487109,5.42129e-07,-0.251372,-0.43538,
5.51081,11.5495,-67.0667,0.130692,60.348,-64.1146,0.11858,0.851428,-0.0197488,0.249314,0.461002,0.893286,1.46387e-06,0.224744,0.389269,2.24746,0.0137062,0.0307696,2.23375,2.21669,1.25045,-0.916617,0.45262,1.41229,-0.683211,0.411229,0.852631,0.0240674,-0.241662,-0.462646,0.892437,1.59216e-06,-0.225586,-0.390727,0.0628974,-0.287286,0.0972173,0.263619,-0.267485,0.0858759,0.0141598,-0.258776,-0.485464,-1.54064e-06,-0.247098,-0.427987,
