time,evXh,evYh,evZh,evXm,evYm,evZm,qTildeWh,qTildeXh,qTildeYh,qTildeZh,qTildeWm,qTildeXm,qTildeYm,qTildeZm,zStar,zStarHath,zStarHatm,zTildeh,zTildem,desImageWrtImageZhatPX,desImageWrtImageZhatPY,desImageWrtImageZhatPZ,desImageWrtImagePX,desImageWrtImagePY,desImageWrtImagePZ,desImageWrtImageZhatQW,desImageWrtImageZhatQX,desImageWrtImageZhatQY,desImageWrtImageZhatQZ,desImageWrtImageQW,desImageWrtImageQX,desImageWrtImageQY,desImageWrtImageQZ,vcXh,vcYh,vcZh,vcXm,vcYm,vcZm,wcXh,wcYh,wcZh,wcXm,wcYm,wcZm,
2.10695,-6.09989,-69.7296,0.115095,-5.53981,-76.726,0.113774,0.881694,0.00867234,0.232659,0.410378,0.878386,-9.98003e-07,0.238975,0.413919,2.18079,0.01,0.00856746,2.17079,2.17222,0,0,0,1.06831,-0.795136,0.427151,0,0,0,0,0.878172,1.13632e-06,-0.239172,-0.41426,0,0,0,-0.0113556,-0.32588,0.0855322,0,0,0,6.05547e-07,-0.257771,-0.446474,
2.11776,-5.88746,-69.2695,0.116007,-4.80593,-76.4107,0.115127,0.879037,0.0037425,0.234607,0.415017,0.87765,2.92773e-06,0.23965,0.415089,2.18079,0.01,0.00717862,2.17079,2.17361,1.07523,-0.794925,0.408466,1.06854,-0.796892,0.428775,0.879917,-0.00607816,-0.234047,-0.413437,0.877577,-9.61812e-07,-0.239719,-0.415204,-0.0122909,-0.29631,0.0873684,-0.00883039,-0.325302,0.0866716,-0.00456393,-0.254823,-0.447096,-3.03518e-06,-0.258278,-0.447351,
2.13061,-6.02647,-69.1951,0.115129,-4.65207,-76.4604,0.115986,0.874717,-0.00614804,0.241763,0.41998,0.877766,1.60541e-06,0.239545,0.414903,2.18079,0.0097465,0.00691321,2.17104,2.17388,1.07162,-0.800588,0.40937,1.0736,-0.795646,0.432252,0.878653,-0.00374599,-0.234963,-0.415628,0.877689,-1.40646e-06,-0.239616,-0.415026,-0.0129155,-0.295352,0.0866404,-0.0081873,-0.325961,0.0873889,0.00537738,-0.258311,-0.451901,-1.36425e-06,-0.258199,-0.447212,
2.15753,-5.9632,-69.0345,0.121923,-4.32911,-76.5154,0.116478,0.876217,0.00182386,0.239389,0.418251,0.876952,7.05908e-08,0.240289,0.416192,2.18079,0.00932714,0.006577,2.17146,2.17421,1.06315,-0.813609,0.42227,1.07939,-0.798621,0.434977,0.874252,0.00614744,-0.242177,-0.42071,0.876583,-7.00751e-08,-0.240626,-0.416775,-0.0124657,-0.298251,0.0923548,-0.00687033,-0.326361,0.0877843,-0.00214204,-0.258278,-0.449608,1.21281e-07,-0.258757,-0.448179,
2.19599,-6.11347,-69.0775,0.120084,-4.41171,-76.5872,0.117103,0.87558,0.0046308,0.237879,0.420419,0.87581,-1.57323e-07,0.241327,0.417993,2.18079,0.00882131,0.00609858,2.17197,2.17469,1.07344,-0.808142,0.420503,1.08176,-0.802616,0.438083,0.875465,-0.00182668,-0.240073,-0.419432,0.875276,1.07963e-06,-0.241813,-0.41883,-0.0133197,-0.29737,0.0907641,-0.00728932,-0.326915,0.0882966,-0.00533105,-0.257494,-0.45102,-2.43363e-07,-0.259535,-0.44953,
2.23208,-6.24278,-69.0853,0.123635,-3.01215,-76.7704,0.117242,0.877435,0.0253081,0.244656,0.411838,0.875445,5.6662e-06,0.241661,0.418564,2.18079,0.00841316,0.00572609,2.17238,2.17506,1.07962,-0.811717,0.41663,1.09111,-0.802369,0.437814,0.874906,-0.00463665,-0.238495,-0.421472,0.875192,-5.66504e-06,-0.24189,-0.418961,-0.0137158,-0.299273,0.0937141,-0.00157271,-0.327607,0.0883861,-0.0211467,-0.268744,-0.440793,-4.49835e-06,-0.259787,-0.449957,
2.26643,-6.358,-69.1464,0.125102,2.84644,-76.7714,0.115829,0.874578,0.0251505,0.250506,0.4144,0.878761,4.87781e-06,0.238634,0.41332,2.18079,0.00812598,0.00552342,2.17266,2.17527,1.09647,-0.783207,0.444994,1.11323,-0.789913,0.428123,0.876913,-0.0253016,-0.245158,-0.412651,0.878418,-4.87556e-06,-0.238949,-0.413866,-0.0141528,-0.300185,0.0949513,0.0224736,-0.326675,0.0871602,-0.0200108,-0.273573,-0.442441,-3.525e-06,-0.257517,-0.446024,
2.31092,-6.45793,-69.1556,0.12873,23.9081,-74.807,0.111269,0.872029,0.0334809,0.259724,0.413507,0.891722,2.56222e-06,0.226292,0.391948,2.18079,0.00779973,0.00575811,2.17299,2.17503,1.09326,-0.788349,0.460386,1.18467,-0.731312,0.392692,0.873866,-0.0251362,-0.25118,-0.415494,0.891479,-2.56168e-06,-0.226531,-0.392362,-0.0143806,-0.302004,0.0980147,0.10862,-0.315686,0.0832231,-0.0252644,-0.283461,-0.439791,-2.00697e-06,-0.24826,-0.429995,
2.33701,-6.61444,-69.2461,0.123607,23.9081,-74.807,0.111269,0.872855,0.0184431,0.244419,0.421951,0.891722,2.56222e-06,0.226292,0.391948,2.18079,0.00758519,0.0064131,2.17321,2.17438,1.09587,-0.78017,0.488144,1.18467,-0.731312,0.392692,0.87153,-0.0334623,-0.260199,-0.414262,0.891479,-2.56168e-06,-0.226531,-0.392362,-0.0154466,-0.299542,0.093648,0.10862,-0.315686,0.0832231,-0.0164665,-0.266273,-0.449824,-2.00697e-06,-0.24826,-0.429995,
2.37335,-6.80888,-69.2738,0.127563,34.8987,-72.6069,0.108749,0.871586,0.0303145,0.250802,0.420139,0.898392,-1.91935e-08,0.219599,0.380353,2.18079,0.00722991,0.00761608,2.17356,2.17317,1.10153,-0.807879,0.438246,1.21769,-0.698393,0.376014,0.872135,-0.018442,-0.245086,-0.423053,0.897487,-1.02371e-06,-0.220522,-0.381952,-0.016104,-0.301666,0.0969847,0.153251,-0.305124,0.0810478,-0.0254426,-0.274627,-0.446177,4.79015e-07,-0.243239,-0.4213,
