time,evXh,evYh,evZh,evXm,evYm,evZm,qTildeWh,qTildeXh,qTildeYh,qTildeZh,qTildeWm,qTildeXm,qTildeYm,qTildeZm,zStar,zStarHath,zStarHatm,zTildeh,zTildem,desImageWrtImageZhatPX,desImageWrtImageZhatPY,desImageWrtImageZhatPZ,desImageWrtImagePX,desImageWrtImagePY,desImageWrtImagePZ,desImageWrtImageZhatQW,desImageWrtImageZhatQX,desImageWrtImageZhatQY,desImageWrtImageZhatQZ,desImageWrtImageQW,desImageWrtImageQX,desImageWrtImageQY,desImageWrtImageQZ,vcXh,vcYh,vcZh,vcXm,vcYm,vcZm,wcXh,wcYh,wcZh,wcXm,wcYm,wcZm,
18.9996,20.075,-55.8587,0.017626,23.6842,-59.9907,0.0251661,0.904457,-0.000736946,0.223752,0.36317,0.907074,-2.46311e-06,0.210487,0.364572,2.00336,0.01,-0.0158812,1.99336,2.01925,0,0,0,1.0976,-0.530439,0.173872,0,0,0,0,0.906908,-4.03259e-06,-0.210666,-0.36488,0,0,0,0.0899106,-0.238255,0.019365,0,0,0,2.43706e-06,-0.236404,-0.409464,
19.0023,20.346,-56.042,0.0260336,23.6842,-59.9907,0.0251661,0.903409,-0.008278,0.21086,0.373258,0.907074,-2.46311e-06,0.210487,0.364572,2.00336,0.01,-0.0158812,1.99336,2.01925,1.08968,-0.527293,0.209069,1.0976,-0.530439,0.173872,0.904097,0.000747231,-0.224133,-0.363831,0.906908,-4.03259e-06,-0.210666,-0.36488,0.0856648,-0.221594,0.0192198,0.0899106,-0.238255,0.019365,0.0061826,-0.234168,-0.417401,2.43706e-06,-0.236404,-0.409464,
19.039,20.4662,-56.3778,0.0217762,24.9878,-60.7911,0.0241488,0.90284,-0.00592122,0.20787,0.376344,0.905008,-9.28355e-07,0.212697,0.368402,2.00336,0.0105697,-0.0129657,1.99279,2.01633,1.08697,-0.549504,0.175644,1.11144,-0.539081,0.174563,0.902845,0.00827271,-0.211444,-0.374291,0.904676,9.2813e-07,-0.213049,-0.369013,0.0854004,-0.221051,0.0159342,0.0958378,-0.240623,0.0184829,0.00292849,-0.232019,-0.419656,7.38252e-07,-0.238062,-0.412336,
19.0767,20.4598,-56.6334,0.017335,25.559,-60.9983,0.0239334,0.900974,-0.0105042,0.205175,0.382149,0.904322,1.8765e-06,0.213426,0.369663,2.00336,0.0111385,-0.0121687,1.99223,2.01553,1.09184,-0.555327,0.16748,1.11619,-0.541642,0.175268,0.902244,0.00590992,-0.208488,-0.377431,0.903869,-1.03691e-07,-0.213905,-0.370492,0.0845882,-0.220054,0.0125595,0.0982461,-0.241237,0.0182953,0.00551957,-0.228222,-0.424966,-1.37146e-06,-0.23861,-0.413282,
19.1103,20.7785,-56.9873,0.0212825,29.4022,-60.7631,0.0226538,0.895218,-0.0113399,0.238741,0.37611,0.905574,-2.63459e-06,0.212097,0.367357,2.00336,0.0116245,-0.0113875,1.99174,2.01475,1.09345,-0.565957,0.158284,1.13011,-0.534226,0.169425,0.900516,0.0104901,-0.205641,-0.382978,0.905244,2.63686e-06,-0.212449,-0.367966,0.0871143,-0.222861,0.0155035,0.11325,-0.239662,0.0173125,0.01535,-0.257023,-0.418275,3.15799e-06,-0.237612,-0.411553,
19.1411,20.6884,-57.352,0.0185828,36.779,-59.6353,0.0203728,0.895178,-0.00522605,0.239211,0.376041,0.909579,-3.17212e-05,0.207768,0.359859,2.00336,0.0121297,-0.0104514,1.99123,2.01382,1.09107,-0.553663,0.242255,1.14704,-0.51782,0.158823,0.894534,0.0113685,-0.239412,-0.377307,0.908521,-1.45952e-08,-0.208921,-0.361859,0.0863695,-0.223099,0.0134157,0.141808,-0.234224,0.0155806,0.0100338,-0.258932,-0.417355,2.88425e-05,-0.234359,-0.405933,
19.184,20.8046,-57.5767,0.0214599,45.4227,-57.7112,0.0179538,0.895832,-0.00677076,0.231784,0.379097,0.914429,1.3803e-05,0.202377,0.350519,2.00336,0.0128378,-0.0088157,1.99053,2.01218,1.09703,-0.551444,0.243108,1.16733,-0.49233,0.146215,0.894813,0.00524175,-0.239574,-0.376679,0.913108,-1.61889e-06,-0.203862,-0.353093,0.087583,-0.22504,0.0155786,0.175118,-0.225658,0.01374,0.00917009,-0.252052,-0.420484,-1.09225e-05,-0.230326,-0.398922,
19.208,20.9452,-57.9163,0.0166259,53.8267,-55.4627,0.015722,0.890835,-0.00523887,0.251339,0.378438,0.918734,9.88416e-07,0.19744,0.341973,2.00336,0.0132102,-0.00775103,1.99015,2.01112,1.10532,-0.556792,0.223488,1.18831,-0.462833,0.131845,0.895357,0.00678271,-0.232257,-0.37993,0.918188,-7.04863e-07,-0.198074,-0.343071,0.0874389,-0.224228,0.0118811,0.207374,-0.215912,0.0120214,0.0126366,-0.269152,-0.418343,-4.74279e-07,-0.22662,-0.392515,
19.2443,21.1324,-58.3204,0.0181424,61.2559,-52.8846,0.0138146,0.88726,-0.0124291,0.255429,0.383889,0.922747,-1.48253e-06,0.192706,0.333769,2.00336,0.013841,-0.00572317,1.98952,2.00909,1.09893,-0.556071,0.273014,1.20668,-0.435701,0.120731,0.890214,0.00527774,-0.251941,-0.379495,0.922091,-2.74987e-06,-0.193489,-0.335128,0.0887349,-0.226187,0.0130156,0.235848,-0.205061,0.0105248,0.0192756,-0.270616,-0.423294,2.41616e-06,-0.223069,-0.386362,
19.2687,22.3662,-58.5644,0.0108776,65.5992,-50.5815,0.0129767,0.895816,0.00508058,0.229128,0.380772,0.924902,-3.25497e-07,0.190105,0.329267,2.00336,0.0142102,-0.00429559,1.98915,2.00766,1.09743,-0.566995,0.281166,1.2165,-0.418677,0.11528,0.886752,0.0124613,-0.255906,-0.384743,0.924014,-1.19069e-06,-0.19118,-0.331132,0.0917862,-0.22431,0.00751303,0.2528,-0.195671,0.00980024,-0.00225578,-0.252582,-0.420313,1.04152e-06,-0.221119,-0.382985,
