time,evXh,evYh,evZh,evXm,evYm,evZm,qTildeWh,qTildeXh,qTildeYh,qTildeZh,qTildeWm,qTildeXm,qTildeYm,qTildeZm,zStar,zStarHath,zStarHatm,zTildeh,zTildem,desImageWrtImageZhatPX,desImageWrtImageZhatPY,desImageWrtImageZhatPZ,desImageWrtImagePX,desImageWrtImagePY,desImageWrtImagePZ,desImageWrtImageZhatQW,desImageWrtImageZhatQX,desImageWrtImageZhatQY,desImageWrtImageZhatQZ,desImageWrtImageQW,desImageWrtImageQX,desImageWrtImageQY,desImageWrtImageQZ,vcXh,vcYh,vcZh,vcXm,vcYm,vcZm,wcXh,wcYh,wcZh,wcXm,wcYm,wcZm,
8.78997,9.45379,-66.4748,0.103232,11.5212,-78.6025,0.0978358,0.881197,0.00163395,0.256736,0.396958,0.888108,-7.68094e-07,0.229818,0.398056,2.14743,0.01,0.0103083,2.13743,2.13713,0,0,0,1.12671,-0.764217,0.375159,0,0,0,0,0.8878,7.6839e-07,-0.230116,-0.398571,0,0,0,0.0580986,-0.32939,0.073377,0,0,0,8.10542e-07,-0.250903,-0.434577,
8.80069,9.29522,-67.8259,0.103396,11.4874,-80.2936,0.0994253,0.883968,0.000283992,0.2432,0.399316,0.887434,-2.1107e-06,0.230469,0.399182,2.14743,0.01,0.0110307,2.13743,2.1364,1.10845,-0.748706,0.420753,1.12696,-0.767551,0.376981,0.882395,-0.000864773,-0.249535,-0.398887,0.887114,7.51999e-07,-0.230775,-0.399715,0.0496652,-0.28817,0.0779968,0.0585462,-0.337122,0.0746608,0.00278885,-0.262383,-0.434645,2.13118e-06,-0.251391,-0.435421,
8.80279,9.43007,-68.2223,0.107197,11.3808,-80.5471,0.100832,0.884241,0.00514532,0.244627,0.397805,0.886726,1.6663e-06,0.231148,0.40036,2.14743,0.0100534,0.0111088,2.13738,2.13633,1.11332,-0.751766,0.404095,1.13062,-0.778471,0.382483,0.883588,-0.000275091,-0.24356,-0.399938,0.88678,-3.04241e-06,-0.231096,-0.40027,0.0508116,-0.291767,0.0811571,0.05837,-0.338948,0.0758198,-0.00101596,-0.264862,-0.432671,-1.38159e-06,-0.251902,-0.436305,
8.85965,9.05851,-69.1118,0.105845,11.5518,-81.5502,0.102447,0.882387,-0.000893567,0.242378,0.403294,0.88474,-5.33692e-07,0.233043,0.403642,2.14743,0.0104016,0.0114942,2.13703,2.13594,1.11746,-0.747802,0.41081,1.13861,-0.792119,0.390007,0.883474,-0.00512406,-0.245359,-0.399057,0.884191,-1.10641e-06,-0.233564,-0.404542,0.0492493,-0.294492,0.0799966,0.0595451,-0.343785,0.0771142,0.00309152,-0.261155,-0.438,4.77915e-07,-0.253322,-0.438767,
8.90169,8.91124,-69.9494,0.115895,13.9785,-82.1124,0.102612,0.885119,0.0161477,0.228339,0.405172,0.885072,3.63052e-06,0.232729,0.403095,2.14743,0.0105786,0.0118277,2.13686,2.13561,1.12363,-0.760347,0.400082,1.15145,-0.792221,0.388628,0.881693,0.000905728,-0.243026,-0.404419,0.884753,-3.62949e-06,-0.233031,-0.403619,0.0500851,-0.303299,0.0884114,0.0697027,-0.346008,0.0772032,-0.0158154,-0.253026,-0.437945,-2.83496e-06,-0.253087,-0.438355,
8.94257,8.85145,-70.4838,0.123005,20.5441,-82.4327,0.100873,0.886468,0.0329173,0.230618,0.399884,0.888607,4.55505e-06,0.229339,0.397217,2.14743,0.010949,0.0123862,2.13649,2.13505,1.14174,-0.761406,0.366823,1.1745,-0.780778,0.378087,0.884724,-0.0161518,-0.228726,-0.405815,0.888149,-4.20718e-06,-0.229782,-0.397985,0.0510809,-0.309382,0.0944278,0.0965137,-0.34608,0.0756832,-0.0295233,-0.259244,-0.431085,-2.81139e-06,-0.250546,-0.433947,
8.96683,8.70468,-71.2697,0.121796,31.016,-81.9169,0.0981257,0.880173,0.000501983,0.229511,0.415476,0.894803,2.96923e-06,0.223232,0.386646,2.14743,0.0112096,0.0128133,2.13622,2.13462,1.15651,-0.744403,0.379221,1.20472,-0.759095,0.362654,0.886035,-0.0329175,-0.23106,-0.400588,0.893421,-3.55285e-06,-0.224612,-0.389035,0.0503832,-0.311645,0.093465,0.138963,-0.342074,0.0732995,-0.00293326,-0.249622,-0.44822,-2.15212e-06,-0.245965,-0.426019,
8.99881,8.74141,-71.8953,0.120398,42.9582,-80.4673,0.0951785,0.882725,0.0190645,0.231182,0.408641,0.90151,4.46491e-07,0.21638,0.374779,2.14743,0.0114066,0.0140222,2.13603,2.13341,1.13751,-0.787691,0.361034,1.24717,-0.721385,0.340264,0.879636,-0.000512116,-0.230008,-0.416336,0.901265,-4.45986e-07,-0.216635,-0.37522,0.0504754,-0.313598,0.092171,0.187096,-0.334095,0.0707265,-0.0182504,-0.25592,-0.440072,-1.42785e-07,-0.240825,-0.417119,
9.02787,8.53744,-72.4001,0.130585,53.0806,-78.6004,0.0924663,0.883917,0.0187828,0.22261,0.410832,0.907139,1.02981e-06,0.210419,0.364449,2.14743,0.0116664,0.0152414,2.13577,2.13219,1.15365,-0.767243,0.37355,1.27827,-0.690908,0.323926,0.882059,-0.0190703,-0.231831,-0.409711,0.906742,-9.13609e-07,-0.210846,-0.36519,0.0511302,-0.321276,0.100995,0.227629,-0.324637,0.0683515,-0.0203506,-0.248329,-0.442338,-2.70544e-08,-0.236354,-0.409372,
9.07846,8.42456,-73.2303,0.127367,60.9957,-76.3352,0.0907299,0.88148,0.0372439,0.237928,0.406197,0.911322,-2.9987e-07,0.205847,0.356537,2.14743,0.0121743,0.0182762,2.13526,2.12916,1.16301,-0.772359,0.348169,1.30267,-0.662872,0.311925,0.883348,-0.0187982,-0.223167,-0.411752,0.910968,3.13528e-07,-0.206239,-0.357215,0.0506402,-0.322956,0.0980461,0.259612,-0.314122,0.0667453,-0.0326232,-0.266076,-0.434928,3.45333e-07,-0.232925,-0.403438,
9.11282,10.0476,-74.371,0.112031,63.9749,-74.3683,0.0910652,0.875765,-0.00866765,0.238157,0.419812,0.912175,-2.2005e-06,0.204904,0.354895,2.14743,0.0126234,0.0203474,2.13481,2.12709,1.16959,-0.753567,0.396329,1.31295,-0.65024,0.310434,0.881246,-0.0372424,-0.238162,-0.406567,0.911811,-5.84129e-06,-0.205306,-0.355599,0.0553687,-0.318537,0.0849979,0.272338,-0.30603,0.0668725,0.00680924,-0.254599,-0.452339,3.1015e-06,-0.232217,-0.402206,
9.13996,16.7867,-75.2665,0.113644,65.8437,-72.392,0.091468,0.880438,-0.0106146,0.234711,0.411857,0.912675,1.92546e-06,0.204341,0.353935,2.14743,0.0127061,0.0223606,2.13473,2.12507,1.15581,-0.793129,0.37683,1.3198,-0.639219,0.31103,0.875375,0.0086647,-0.238504,-0.420427,0.912007,-2.64696e-06,-0.205088,-0.35522,0.0838126,-0.323004,0.0863124,0.280786,-0.297927,0.0670387,0.00880513,-0.251668,-0.446562,-2.43937e-06,-0.231796,-0.401486,
9.18465,26.4537,-75.2832,0.103903,65.3867,-71.7528,0.0920833,0.885037,-0.00670103,0.228254,0.405667,0.911554,3.05188e-06,0.20559,0.356093,2.14743,0.0131501,0.025377,2.13428,2.12206,1.17682,-0.773785,0.368344,1.32337,-0.632598,0.311748,0.879365,0.0106085,-0.235685,-0.413591,0.911823,-3.05172e-06,-0.205292,-0.355576,0.121928,-0.317334,0.077979,0.279968,-0.295397,0.0674076,0.00457098,-0.247452,-0.441574,-2.75488e-06,-0.232733,-0.403104,
9.21691,38.3484,-73.8926,0.10995,65.4254,-69.3237,0.0926516,0.891769,-0.0106727,0.225087,0.39239,0.910651,9.74203e-06,0.206594,0.357819,2.14743,0.0138263,0.0274251,2.13361,2.12001,1.20446,-0.751968,0.349327,1.32702,-0.620931,0.313874,0.884558,0.00669572,-0.228703,-0.406458,0.910977,-9.74679e-06,-0.206233,-0.357195,0.173099,-0.314663,0.0829445,0.281121,-0.285522,0.0677116,0.00916722,-0.244592,-0.431881,-6.84781e-06,-0.233488,-0.404397,
9.25646,50.3721,-71.4774,0.102637,71.2368,-65.1517,0.0900936,0.897167,0.0130286,0.227217,0.378542,0.913879,-1.1425e-05,0.202987,0.351599,2.14743,0.0152152,0.0302903,2.13222,2.11714,1.23586,-0.71422,0.339754,1.34407,-0.585939,0.302423,0.891203,0.0106712,-0.225633,-0.393362,0.913906,1.14255e-05,-0.202956,-0.351545,0.22073,-0.300664,0.0765166,0.303886,-0.266959,0.0654017,-0.00946314,-0.252998,-0.417524,7.8712e-06,-0.230777,-0.399737,
9.28554,57.3189,-68.9046,0.113796,77.0744,-60.2398,0.0862553,0.9028,0.0372718,0.227917,0.36279,0.916803,2.45249e-06,0.199671,0.345839,2.14743,0.01677,0.0324428,2.13066,2.11499,1.26269,-0.671918,0.351572,1.3599,-0.549611,0.290178,0.896749,-0.0130215,-0.227652,-0.379271,0.916368,1.30318e-06,-0.200166,-0.346705,0.25478,-0.295867,0.0855598,0.325853,-0.245127,0.0620951,-0.0284327,-0.260237,-0.401319,-2.01424e-06,-0.228293,-0.395414,
9.33245,59.9053,-66.7601,0.104828,93.5076,-49.8845,0.074504,0.901284,0.0195646,0.228864,0.367322,0.925454,-4.73047e-06,0.18943,0.328102,2.14743,0.0205929,0.0367585,2.12684,2.11068,1.29031,-0.625593,0.357984,1.39941,-0.456126,0.247843,0.902318,-0.0372538,-0.228461,-0.363647,0.925141,4.70461e-06,-0.189812,-0.328765,0.262732,-0.2816,0.0778079,0.384998,-0.197996,0.0521423,-0.0132147,-0.256604,-0.407607,4.03181e-06,-0.220611,-0.382112,
9.35772,60.9667,-64.7404,0.104026,93.5076,-49.8845,0.074504,0.90201,0.0142634,0.218934,0.371808,0.925454,-4.73047e-06,0.18943,0.328102,2.14743,0.022421,0.0392496,2.12501,2.10818,1.29348,-0.636372,0.355732,1.39941,-0.456126,0.247843,0.900609,-0.0195419,-0.229593,-0.368523,0.925141,4.70461e-06,-0.189812,-0.328765,0.267128,-0.272583,0.0770615,0.384998,-0.197996,0.0521423,-0.0115829,-0.246641,-0.412561,4.03181e-06,-0.220611,-0.382112,
9.3818,61.1947,-62.0831,0.121377,99.8849,-45.0105,0.068392,0.905442,0.0384727,0.220996,0.360354,0.928635,-6.97737e-06,0.185501,0.321288,2.14743,0.0240507,0.0416818,2.12338,2.10575,1.30058,-0.647149,0.323932,1.41237,-0.419124,0.230373,0.901439,-0.0142585,-0.219547,-0.372832,0.92814,4.30723e-06,-0.186118,-0.322361,0.276849,-0.270213,0.0914105,0.406595,-0.176126,0.0470468,-0.030773,-0.254801,-0.399648,7.47151e-06,-0.217665,-0.377002,
9.40793,63.6827,-58.955,0.105969,104.803,-40.5865,0.0625094,0.90259,0.0267455,0.227511,0.364492,0.930668,-4.67835e-06,0.182936,0.316847,2.14743,0.0261281,0.0445506,2.12131,2.10288,1.31921,-0.612722,0.332807,1.42034,-0.3908,0.216987,0.905079,-0.0384631,-0.221413,-0.361011,0.929829,9.41164e-06,-0.184,-0.318688,0.280562,-0.249457,0.0782502,0.422376,-0.156379,0.0421585,-0.0194751,-0.257322,-0.404361,5.09812e-06,-0.215741,-0.373671,
