time,evXh,evYh,evZh,evXm,evYm,evZm,qTildeWh,qTildeXh,qTildeYh,qTildeZh,qTildeWm,qTildeXm,qTildeYm,qTildeZm,zStar,zStarHath,zStarHatm,zTildeh,zTildem,desImageWrtImageZhatPX,desImageWrtImageZhatPY,desImageWrtImageZhatPZ,desImageWrtImagePX,desImageWrtImagePY,desImageWrtImagePZ,desImageWrtImageZhatQW,desImageWrtImageZhatQX,desImageWrtImageZhatQY,desImageWrtImageZhatQZ,desImageWrtImageQW,desImageWrtImageQX,desImageWrtImageQY,desImageWrtImageQZ,vcXh,vcYh,vcZh,vcXm,vcYm,vcZm,wcXh,wcYh,wcZh,wcXm,wcYm,wcZm,
2.41273,13.7007,-65.2276,0.146799,24.3666,-76.4949,0.152984,0.888539,-0.028054,0.218826,0.402278,0.893968,2.55284e-06,0.224065,0.388092,2.27129,0.01,-0.0552779,2.26129,2.32657,0,0,0,1.19528,-0.771648,0.486219,0,0,0,0,0.893479,-3.24459e-07,-0.224551,-0.388937,0,0,0,0.0929026,-0.336949,0.116749,0,0,0,-2.12589e-06,-0.24659,-0.427103,
2.41373,14.2084,-66.0049,0.147615,24.3666,-76.4949,0.152984,0.884914,-0.0465224,0.216207,0.4099,0.893968,2.55284e-06,0.224065,0.388092,2.27129,0.01,-0.0530315,2.26129,2.32432,1.1705,-0.809414,0.451214,1.19528,-0.771648,0.486219,0.888167,0.0280446,-0.219167,-0.402914,0.893479,-3.24459e-07,-0.224551,-0.388937,0.0732225,-0.286472,0.110227,0.0929026,-0.336949,0.116749,0.0367368,-0.226874,-0.45054,-2.12589e-06,-0.24659,-0.427103,
2.43705,14.3904,-66.2732,0.150205,24.7225,-77.3695,0.153605,0.89353,-0.00180527,0.221697,0.390449,0.893054,-2.44851e-06,0.224975,0.389669,2.27129,0.0099754,-0.052567,2.26132,2.32386,1.16164,-0.835705,0.432974,1.202,-0.779292,0.49025,0.884363,0.0465013,-0.216685,-0.410837,0.892781,1.94884e-06,-0.225246,-0.390137,0.0745679,-0.289175,0.112299,0.0953594,-0.340757,0.117206,0.000702163,-0.243977,-0.429349,2.17172e-06,-0.247271,-0.428287,
2.46259,14.4303,-66.5317,0.151346,24.0159,-77.8193,0.155266,0.893054,-0.00226745,0.222651,0.390995,0.891146,-6.01291e-08,0.226857,0.39293,2.27129,0.0102545,-0.051976,2.26104,2.32327,1.19861,-0.767237,0.472302,1.20509,-0.787447,0.494996,0.893068,0.00180194,-0.222156,-0.391246,0.890853,8.1302e-08,-0.227145,-0.393429,0.0750661,-0.290743,0.113261,0.0929143,-0.343438,0.118595,0.00127021,-0.244647,-0.429785,-1.22064e-07,-0.248683,-0.430732,
2.48723,14.563,-66.7547,0.154716,24.0836,-78.1842,0.155886,0.891997,-0.00199393,0.225751,0.391631,0.89011,1.75903e-06,0.227872,0.394689,2.27129,0.0105346,-0.051386,2.26076,2.32268,1.20186,-0.768282,0.474492,1.20905,-0.792119,0.497808,0.892402,0.00226358,-0.223293,-0.392114,0.889775,-9.77765e-07,-0.2282,-0.395254,0.0763846,-0.293271,0.116142,0.0935624,-0.345195,0.119098,0.00169185,-0.24733,-0.430058,-1.935e-06,-0.249444,-0.432051,
2.52605,14.3781,-67.199,0.149139,24.8588,-78.5168,0.156271,0.890446,-0.00199567,0.223946,0.396168,0.889203,1.62004e-06,0.228757,0.396218,2.27129,0.0109289,-0.0505561,2.26036,2.32185,1.20718,-0.777506,0.475318,1.21397,-0.795995,0.499825,0.890093,0.00199242,-0.2244,-0.396705,0.888898,-2.95552e-06,-0.229053,-0.396731,0.0748067,-0.292116,0.111278,0.0971665,-0.346677,0.119409,0.000623457,-0.245499,-0.433731,-1.23836e-06,-0.250108,-0.433198,
2.56865,14.6024,-67.5499,0.157252,31.395,-78.3446,0.154146,0.889627,-0.0038026,0.226332,0.39664,0.89268,1.95216e-06,0.225348,0.390308,2.27129,0.0113642,-0.049467,2.25993,2.32076,1.20726,-0.777833,0.475069,1.2415,-0.781316,0.487788,0.89005,0.00199206,-0.224331,-0.39684,0.892339,-1.94989e-06,-0.225685,-0.390892,0.0774035,-0.297607,0.118269,0.12473,-0.344876,0.117699,0.00275167,-0.247078,-0.434206,-9.00814e-07,-0.247551,-0.428765,
2.60139,14.5055,-67.945,0.150133,31.3412,-78.3853,0.154191,0.888759,-0.00315278,0.22609,0.398724,0.891595,2.52756e-06,0.226419,0.392164,2.27129,0.0117094,-0.0484224,2.25958,2.31972,1.21361,-0.777665,0.480247,1.24151,-0.781312,0.487783,0.889099,0.00379993,-0.226841,-0.397531,0.89234,-2.53127e-06,-0.225684,-0.390891,0.0759011,-0.295417,0.112052,0.124809,-0.344999,0.117705,0.00182398,-0.246898,-0.435769,-1.62399e-06,-0.248355,-0.430157,
2.62711,14.8027,-68.2385,0.153251,41.2178,-77.6669,0.150705,0.876871,-0.0453674,0.219304,0.425376,0.89693,3.23754e-07,0.221089,0.38293,2.27129,0.0119742,-0.0474752,2.25932,2.31877,1.21731,-0.781798,0.478601,1.27781,-0.756336,0.469428,0.888198,0.00314843,-0.22663,-0.399667,0.897536,-3.28732e-07,-0.220473,-0.381864,0.0776857,-0.297801,0.11488,0.165964,-0.340196,0.114878,0.0345675,-0.228829,-0.462324,7.34388e-07,-0.244357,-0.423232,
2.6789,14.5904,-68.8083,0.148633,54.2507,-75.7171,0.145985,0.875422,-0.0550973,0.210111,0.431804,0.904574,5.62997e-07,0.213159,0.369201,2.27129,0.0119352,-0.0449132,2.25936,2.31621,1.18123,-0.866401,0.433791,1.32163,-0.716801,0.444512,0.876377,0.0453439,-0.219716,-0.426184,0.904877,-5.63393e-07,-0.212837,-0.368644,0.0759328,-0.297406,0.110868,0.219601,-0.329715,0.111049,0.04028,-0.217919,-0.468879,-3.39407e-07,-0.238409,-0.412935,
