time,evXh,evYh,evZh,evXm,evYm,evZm,qTildeWh,qTildeXh,qTildeYh,qTildeZh,qTildeWm,qTildeXm,qTildeYm,qTildeZm,zStar,zStarHath,zStarHatm,zTildeh,zTildem,desImageWrtImageZhatPX,desImageWrtImageZhatPY,desImageWrtImageZhatPZ,desImageWrtImagePX,desImageWrtImagePY,desImageWrtImagePZ,desImageWrtImageZhatQW,desImageWrtImageZhatQX,desImageWrtImageZhatQY,desImageWrtImageZhatQZ,desImageWrtImageQW,desImageWrtImageQX,desImageWrtImageQY,desImageWrtImageQZ,vcXh,vcYh,vcZh,vcXm,vcYm,vcZm,wcXh,wcYh,wcZh,wcXm,wcYm,wcZm,
24.6127,-88.0287,-44.1491,0.0513368,-72.4673,-50.3402,0.0455785,0.887703,0.00482894,0.234113,0.396422,0.891982,8.62086e-07,0.226035,0.391505,2.04885,0.01,-0.0796951,2.03885,2.12854,0,0,0,0.652028,-0.563812,0.256665,0,0,0,0,0.891644,-8.62439e-07,-0.226368,-0.392082,0,0,0,-0.311136,-0.199137,0.0317345,0,0,0,-9.01661e-07,-0.248066,-0.429664,
24.614,-87.9635,-44.5856,0.0491473,-72.0882,-51.2305,0.0446966,0.888975,-0.0168473,0.222646,0.399835,0.891371,1.10545e-06,0.226637,0.392547,2.04885,0.01,-0.0887987,2.03885,2.13765,0.642051,-0.563907,0.278436,0.657036,-0.569446,0.255132,0.88733,-0.00482527,-0.234476,-0.397042,0.890845,2.0663e-06,-0.227157,-0.39344,-0.344547,-0.182339,0.037313,-0.31302,-0.201721,0.0307369,0.0130743,-0.240513,-0.438684,-1.01929e-06,-0.248518,-0.430445,
24.649,-88.0708,-44.9179,0.0506784,-72.1752,-51.6194,0.0442977,0.886226,-0.00879811,0.231946,0.400909,0.88982,-1.5051e-06,0.228156,0.395176,2.04885,0.00644574,-0.0917474,2.0424,2.1406,0.648198,-0.573994,0.248598,0.661226,-0.574663,0.256902,0.88841,0.0168385,-0.223176,-0.400795,0.889432,1.53654e-06,-0.228535,-0.395832,-0.346628,-0.18396,0.038359,-0.314276,-0.202857,0.0303239,0.00799469,-0.250418,-0.43789,1.57958e-06,-0.249657,-0.432417,
24.677,-88.2582,-45.3383,0.0477666,-72.1752,-51.6194,0.0442977,0.886913,-0.0250289,0.220634,0.405066,0.88982,-1.5051e-06,0.228156,0.395176,2.04885,0.00323526,-0.0943587,2.04561,2.14321,0.648275,-0.574881,0.26857,0.661226,-0.574663,0.256902,0.885659,0.00879861,-0.232478,-0.401853,0.889432,1.53654e-06,-0.228535,-0.395832,-0.347107,-0.184288,0.0359241,-0.314276,-0.202857,0.0303239,0.0192048,-0.236419,-0.443945,1.57958e-06,-0.249657,-0.432417,
24.7116,-88.4342,-45.6449,0.0470439,-72.7642,-51.9041,0.0441041,0.887864,-0.0230867,0.213784,0.40677,0.888376,-1.68073e-06,0.229559,0.397607,2.04885,-0.000231724,-0.0972675,2.04908,2.14612,0.656107,-0.584777,0.240937,0.663424,-0.579395,0.258528,0.886425,0.0250168,-0.221081,-0.405893,0.888098,-5.41323e-07,-0.229827,-0.398073,-0.348513,-0.185002,0.0351995,-0.317625,-0.203623,0.0300397,0.0155568,-0.230886,-0.445412,1.63183e-06,-0.250709,-0.43424,
24.7432,-88.5572,-46.1473,0.0474307,-72.4509,-52.3697,0.0441043,0.883781,-0.0150647,0.226667,0.409055,0.887287,1.88312e-06,0.230609,0.399425,2.04885,-0.0036308,-0.100188,2.05248,2.14904,0.663906,-0.588625,0.230416,0.668525,-0.584196,0.259849,0.88722,0.0230611,-0.214377,-0.407862,0.886927,-1.88242e-06,-0.230956,-0.400026,-0.350181,-0.186847,0.0353476,-0.317412,-0.205263,0.0299652,0.0112269,-0.243825,-0.445442,-1.43469e-06,-0.251497,-0.435604,
24.7799,-88.5714,-46.4348,0.0493088,-69.9639,-52.8659,0.0442998,0.882078,-0.0202017,0.229993,0.410651,0.888174,0.000126761,0.229689,0.397983,2.04885,-0.00721864,-0.103063,2.05607,2.15191,0.659686,-0.590585,0.256172,0.677424,-0.583614,0.258188,0.883404,0.0150581,-0.227012,-0.409677,0.887686,-6.96351e-05,-0.230189,-0.398781,-0.352196,-0.188433,0.0366521,-0.3085,-0.207371,0.0302016,0.016435,-0.245329,-0.447155,-0.000134427,-0.250827,-0.43451,
24.8121,-88.71,-46.6556,0.051385,-63.5404,-53.8008,0.0447387,0.878792,-0.00878245,0.243689,0.410199,0.892117,5.28517e-06,0.2259,0.391275,2.04885,-0.0108745,-0.10568,2.05972,2.15453,0.661821,-0.595238,0.259761,0.694917,-0.576474,0.252376,0.88149,0.020194,-0.230521,-0.411616,0.89107,-2.87038e-06,-0.226931,-0.393062,-0.354969,-0.189737,0.0381155,-0.283771,-0.211836,0.0309095,0.00954347,-0.25996,-0.44442,-5.46111e-06,-0.247966,-0.429491,
24.8476,-88.906,-47.0025,0.0472733,-46.089,-54.9315,0.0457845,0.878742,-0.0216946,0.233455,0.415742,0.902396,3.28217e-06,0.215453,0.373178,2.04885,-0.0148995,-0.108099,2.06375,2.15695,0.658447,-0.592443,0.289849,0.747953,-0.546746,0.233472,0.878102,0.00879103,-0.244313,-0.411305,0.901898,-4.40968e-05,-0.215958,-0.374089,-0.355007,-0.189383,0.0346895,-0.215248,-0.218528,0.0328359,0.0179489,-0.247627,-0.451125,-3.31529e-06,-0.24013,-0.415918,
24.8808,-88.9386,-47.3725,0.0446626,-37.638,-54.6707,0.0462505,0.876718,-0.0362296,0.23241,0.419569,0.907035,1.99023e-06,0.210525,0.364646,2.04885,-0.0186133,-0.109955,2.06746,2.1588,0.66574,-0.604933,0.264939,0.772557,-0.530395,0.225344,0.878229,0.0216885,-0.233907,-0.416571,0.906553,-1.34081e-06,-0.211046,-0.365543,-0.355051,-0.189842,0.0324378,-0.181754,-0.218593,0.033752,0.0302863,-0.242878,-0.455965,-2.5425e-06,-0.236434,-0.409519,
